enrollment_id,student_id,class_id,status,active
E0199,199,T17,Active,True
E0200,200,T17,Active,True
E0201,201,T17,Active,True
E0202,202,T17,Active,True
E0203,203,T17,Dropped,
E0204,204,T17,Completed,
E0205,205,T17,Active,True
E0206,206,T17,Active,True
E0207,207,T18,Active,True
E0208,208,T18,Active,True
E0209,209,T18,Active,True
E0210,210,T18,Active,True
E0211,211,T18,Active,True
E0212,212,T18,Active,True
E0213,213,T18,Dropped,
E0214,214,T18,Active,True
E0215,215,T18,Active,True
E0216,216,T18,Active,True
E0217,217,T19,Active,True
E0218,218,T19,Active,True
E0219,219,T19,Active,True
E0220,220,T19,Completed,
E0221,221,T19,Active,True
E0222,222,T19,Completed,
E0223,223,T19,Active,True
E0224,224,T19,Active,True
E0225,225,T19,Active,True
E0226,226,T19,Active,True
E0227,227,T19,Active,True
E0228,228,T20,Active,True
E0229,229,T20,Active,True
E0230,230,T20,Active,True
E0231,231,T20,Completed,
E0232,232,T20,Active,True
E0233,233,T20,Active,True
E0234,234,T20,Active,True
E0235,235,T20,Active,True
E0236,236,T20,Active,True
E0237,237,T20,Active,True
E0238,238,T20,Active,True
E0239,239,T20,Active,True
E0240,240,T20,Active,True
E0241,241,T20,Dropped,
E0242,242,T20,Active,True
E0243,243,T21,Completed,
E0244,244,T21,Active,True
E0245,245,T21,Active,True
E0246,246,T21,Active,True
E0247,247,T21,Active,True
E0248,248,T21,Active,True
E0249,249,T21,Active,True
E0250,250,T21,Active,True
E0251,251,T21,Active,True
E0252,252,T21,Active,True
E0253,253,T21,Active,True
E0254,254,T22,Active,True
E0255,255,T22,Completed,
E0256,256,T22,Active,True
E0257,257,T22,Completed,
E0258,258,T22,Dropped,
E0259,259,T22,Active,True
E0260,260,T22,Dropped,
E0261,261,T22,Active,True
E0262,262,T22,Dropped,
E0263,263,T22,Active,True
E0264,264,T22,Active,True
E0265,265,T22,Active,True
E0266,266,T22,Completed,
E0267,267,T22,Active,True
E0268,268,T23,Completed,
E0269,269,T23,Dropped,
E0270,270,T23,Active,True
E0271,271,T23,Completed,
E0272,272,T23,Completed,
E0273,273,T23,Dropped,
E0274,274,T23,Active,True
E0275,275,T23,Active,True
E0276,276,T23,Active,True
E0277,277,T23,Active,True
E0278,278,T23,Active,True
E0279,279,T23,Active,True
E0280,280,T23,Active,True
E0281,281,T23,Active,True
E0282,282,T23,Dropped,
E0283,283,T24,Completed,
E0284,284,T24,Active,True
E0285,285,T24,Active,True
E0286,286,T24,Active,True
E0287,287,T24,Completed,
E0288,288,T24,Completed,
E0289,289,T24,Dropped,
E0290,290,T24,Active,True
E0291,291,T24,Active,True
E0292,292,T24,Active,True
E0293,293,T24,Active,True
E0294,294,T25,Active,True
E0295,295,T25,Active,True
E0296,296,T25,Active,True
E0297,297,T25,Active,True
E0298,298,T25,Completed,
E0299,299,T25,Active,True
E0300,300,T25,Active,True
E0301,301,T25,Active,True
E0302,302,T25,Active,True
E0303,303,T25,Active,True
E0304,304,T25,Completed,
E0305,305,T25,Active,True
E0306,306,T25,Active,True
E0307,307,T25,Dropped,
E0308,308,T25,Dropped,
E0309,309,T26,Active,True
E0310,310,T26,Dropped,
E0311,311,T26,Active,True
E0312,312,T26,Completed,
E0313,313,T26,Active,True
E0314,314,T26,Active,True
E0315,315,T26,Active,True
E0316,316,T26,Active,True
E0317,317,T26,Active,True
E0318,318,T26,Active,True
E0319,319,T26,Completed,
E0320,320,T26,Active,True
E0321,321,T26,Completed,
E0322,322,T26,Active,True
E0323,323,T27,Active,True
E0324,324,T27,Active,True
E0325,325,T27,Completed,
E0326,326,T27,Completed,
E0327,327,T27,Dropped,
E0328,328,T27,Active,True
E0329,329,T27,Active,True
E0330,330,T27,Active,True
E0331,331,T27,Completed,
E0332,332,T27,Active,True
E0333,333,T28,Active,True
E0334,334,T28,Completed,
E0335,335,T28,Active,True
E0336,336,T28,Active,True
E0337,337,T28,Dropped,
E0338,338,T28,Dropped,
E0339,339,T28,Active,True
E0340,340,T28,Dropped,
E0341,341,T28,Active,True
E0342,342,T28,Active,True
E0343,343,T28,Active,True
E0344,344,T28,Active,True
E0345,345,T28,Active,True
E0346,346,T28,Completed,
E0347,347,T28,Completed,
E0348,348,T29,Active,True
E0349,349,T29,Active,True
E0350,350,T29,Active,True
E0351,351,T29,Dropped,
E0352,352,T29,Active,True
E0353,353,T29,Active,True
E0354,354,T29,Active,True
E0355,355,T29,Active,True
E0356,356,T29,Active,True
E0357,357,T29,Active,True
E0358,358,T30,Active,True
E0359,359,T30,Active,True
E0360,360,T30,Dropped,
E0361,361,T30,Active,True
E0362,362,T30,Active,True
E0363,363,T30,Active,True
E0364,364,T30,Active,True
E0365,365,T30,Active,True
E0366,366,T30,Dropped,
E0367,367,T30,Completed,
E0368,368,T30,Active,True
E0369,369,T30,Active,True
E0370,370,T30,Dropped,
E0371,371,T30,Active,True
E0372,372,T30,Active,True
