Enrollment ID,Class Date,Attendance Flag
E0007,2026-01-26,1
E0007,2026-01-28,1
E0007,2026-01-19,0
E0007,2026-01-21,0
E0007,2026-01-12,1
E0007,2026-01-14,0
E0007,2026-01-05,0
E0007,2026-01-07,1
E0007,2025-12-29,0
E0007,2025-12-31,0
E0007,2025-12-22,0
E0007,2025-12-24,0
E0007,2025-12-15,0
E0007,2025-12-17,1
E0007,2025-12-08,0
E0007,2025-12-10,1
E0007,2025-12-01,1
E0007,2025-12-03,1
E0007,2025-11-24,0
E0007,2025-11-26,0
E0007,2025-11-17,1
E0007,2025-11-19,0
E0007,2025-11-10,1
E0007,2025-11-12,0
E0008,2026-01-26,1
E0008,2026-01-28,1
E0008,2026-01-19,0
E0008,2026-01-21,1
E0008,2026-01-12,1
E0008,2026-01-14,1
E0008,2026-01-05,0
E0008,2026-01-07,1
E0008,2025-12-29,1
E0008,2025-12-31,1
E0008,2025-12-22,1
E0008,2025-12-24,1
E0008,2025-12-15,1
E0008,2025-12-17,1
E0008,2025-12-08,1
E0008,2025-12-10,1
E0008,2025-12-01,1
E0008,2025-12-03,1
E0008,2025-11-24,1
E0008,2025-11-26,1
E0008,2025-11-17,1
E0008,2025-11-19,1
E0008,2025-11-10,1
E0008,2025-11-12,1
E0009,2026-01-26,1
E0009,2026-01-28,1
E0009,2026-01-19,1
E0009,2026-01-21,1
E0009,2026-01-12,1
E0009,2026-01-14,1
E0009,2026-01-05,1
E0009,2026-01-07,1
E0009,2025-12-29,1
E0009,2025-12-31,1
E0009,2025-12-22,1
E0009,2025-12-24,1
E0009,2025-12-15,1
E0009,2025-12-17,1
E0009,2025-12-08,1
E0009,2025-12-10,1
E0009,2025-12-01,1
E0009,2025-12-03,1
E0009,2025-11-24,1
E0009,2025-11-26,1
E0009,2025-11-17,1
E0009,2025-11-19,1
E0009,2025-11-10,1
E0009,2025-11-12,1
E0010,2026-01-26,0
E0010,2026-01-28,1
E0010,2026-01-19,1
E0010,2026-01-21,1
E0010,2026-01-12,1
E0010,2026-01-14,1
E0010,2026-01-05,1
E0010,2026-01-07,1
E0010,2025-12-29,1
E0010,2025-12-31,1
E0010,2025-12-22,1
E0010,2025-12-24,1
E0010,2025-12-15,1
E0010,2025-12-17,1
E0010,2025-12-08,0
E0010,2025-12-10,0
E0010,2025-12-01,1
E0010,2025-12-03,1
E0010,2025-11-24,1
E0010,2025-11-26,0
E0010,2025-11-17,1
E0010,2025-11-19,0
E0010,2025-11-10,0
E0010,2025-11-12,1
E0011,2026-01-26,1
E0011,2026-01-28,1
E0011,2026-01-19,1
E0011,2026-01-21,1
E0011,2026-01-12,1
E0011,2026-01-14,0
E0011,2026-01-05,1
E0011,2026-01-07,1
E0011,2025-12-29,1
E0011,2025-12-31,1
E0011,2025-12-22,0
E0011,2025-12-24,1
E0011,2025-12-15,1
E0011,2025-12-17,1
E0011,2025-12-08,1
E0011,2025-12-10,1
E0011,2025-12-01,1
E0011,2025-12-03,1
E0011,2025-11-24,1
E0011,2025-11-26,1
E0011,2025-11-17,1
E0011,2025-11-19,1
E0011,2025-11-10,1
E0011,2025-11-12,1
E0012,2026-01-26,1
E0012,2026-01-28,1
E0012,2026-01-19,1
E0012,2026-01-21,1
E0012,2026-01-12,1
E0012,2026-01-14,1
E0012,2026-01-05,1
E0012,2026-01-07,1
E0012,2025-12-29,1
E0012,2025-12-31,1
E0012,2025-12-22,1
E0012,2025-12-24,1
E0012,2025-12-15,1
E0012,2025-12-17,1
E0012,2025-12-08,1
E0012,2025-12-10,1
E0012,2025-12-01,1
E0012,2025-12-03,1
E0012,2025-11-24,1
E0012,2025-11-26,1
E0012,2025-11-17,1
E0012,2025-11-19,1
E0012,2025-11-10,1
E0012,2025-11-12,1
E0013,2026-01-26,1
E0013,2026-01-28,1
E0013,2026-01-19,1
E0013,2026-01-21,1
E0013,2026-01-12,0
E0013,2026-01-14,1
E0013,2026-01-05,1
E0013,2026-01-07,1
E0013,2025-12-29,1
E0013,2025-12-31,1
E0013,2025-12-22,1
E0013,2025-12-24,1
E0013,2025-12-15,0
E0013,2025-12-17,1
E0013,2025-12-08,1
E0013,2025-12-10,1
E0013,2025-12-01,1
E0013,2025-12-03,1
E0013,2025-11-24,1
E0013,2025-11-26,1
E0013,2025-11-17,1
E0013,2025-11-19,1
E0013,2025-11-10,1
E0013,2025-11-12,0
E0014,2026-01-26,0
E0014,2026-01-28,0
E0014,2026-01-19,0
E0014,2026-01-21,1
E0014,2026-01-12,0
E0014,2026-01-14,0
E0014,2026-01-05,1
E0014,2026-01-07,1
E0014,2025-12-29,1
E0014,2025-12-31,1
E0014,2025-12-22,0
E0014,2025-12-24,0
E0014,2025-12-15,0
E0014,2025-12-17,1
E0014,2025-12-08,0
E0014,2025-12-10,0
E0014,2025-12-01,1
E0014,2025-12-03,0
E0014,2025-11-24,0
E0014,2025-11-26,0
E0014,2025-11-17,0
E0014,2025-11-19,1
E0014,2025-11-10,0
E0014,2025-11-12,0
E0015,2026-01-26,1
E0015,2026-01-28,1
E0015,2026-01-19,1
E0015,2026-01-21,1
E0015,2026-01-12,1
E0015,2026-01-14,1
E0015,2026-01-05,1
E0015,2026-01-07,0
E0015,2025-12-29,1
E0015,2025-12-31,1
E0015,2025-12-22,1
E0015,2025-12-24,1
E0015,2025-12-15,1
E0015,2025-12-17,0
E0015,2025-12-08,1
E0015,2025-12-10,0
E0015,2025-12-01,1
E0015,2025-12-03,1
E0015,2025-11-24,1
E0015,2025-11-26,1
E0015,2025-11-17,1
E0015,2025-11-19,1
E0015,2025-11-10,1
E0015,2025-11-12,1
E0016,2026-01-26,1
E0016,2026-01-28,1
E0016,2026-01-19,1
E0016,2026-01-21,1
E0016,2026-01-12,1
E0016,2026-01-14,1
E0016,2026-01-05,1
E0016,2026-01-07,1
E0016,2025-12-29,1
E0016,2025-12-31,1
E0016,2025-12-22,1
E0016,2025-12-24,1
E0016,2025-12-15,1
E0016,2025-12-17,1
E0016,2025-12-08,0
E0016,2025-12-10,1
E0016,2025-12-01,1
E0016,2025-12-03,1
E0016,2025-11-24,1
E0016,2025-11-26,0
E0016,2025-11-17,1
E0016,2025-11-19,1
E0016,2025-11-10,1
E0016,2025-11-12,1
E0017,2026-01-26,1
E0017,2026-01-28,1
E0017,2026-01-19,1
E0017,2026-01-21,1
E0017,2026-01-12,1
E0017,2026-01-14,1
E0017,2026-01-05,1
E0017,2026-01-07,1
E0017,2025-12-29,1
E0017,2025-12-31,1
E0017,2025-12-22,0
E0017,2025-12-24,0
E0017,2025-12-15,1
E0017,2025-12-17,1
E0017,2025-12-08,1
E0017,2025-12-10,1
E0017,2025-12-01,1
E0017,2025-12-03,1
E0017,2025-11-24,1
E0017,2025-11-26,1
E0017,2025-11-17,1
E0017,2025-11-19,1
E0017,2025-11-10,1
E0017,2025-11-12,1
E0018,2026-01-26,1
E0018,2026-01-28,1
E0018,2026-01-19,1
E0018,2026-01-21,1
E0018,2026-01-12,1
E0018,2026-01-14,1
E0018,2026-01-05,1
E0018,2026-01-07,1
E0018,2025-12-29,1
E0018,2025-12-31,1
E0018,2025-12-22,1
E0018,2025-12-24,1
E0018,2025-12-15,1
E0018,2025-12-17,1
E0018,2025-12-08,1
E0018,2025-12-10,0
E0018,2025-12-01,1
E0018,2025-12-03,1
E0018,2025-11-24,1
E0018,2025-11-26,0
E0018,2025-11-17,0
E0018,2025-11-19,1
E0018,2025-11-10,1
E0018,2025-11-12,1
E0019,2026-01-26,0
E0019,2026-01-28,0
E0019,2026-01-19,0
E0019,2026-01-21,1
E0019,2026-01-12,0
E0019,2026-01-14,1
E0019,2026-01-05,0
E0019,2026-01-07,1
E0019,2025-12-29,1
E0019,2025-12-31,1
E0019,2025-12-22,0
E0019,2025-12-24,0
E0019,2025-12-15,0
E0019,2025-12-17,0
E0019,2025-12-08,0
E0019,2025-12-10,1
E0019,2025-12-01,0
E0019,2025-12-03,1
E0019,2025-11-24,0
E0019,2025-11-26,1
E0019,2025-11-17,0
E0019,2025-11-19,1
E0019,2025-11-10,0
E0019,2025-11-12,0
E0020,2026-01-26,1
E0020,2026-01-28,0
E0020,2026-01-19,0
E0020,2026-01-21,0
E0020,2026-01-12,0
E0020,2026-01-14,0
E0020,2026-01-05,0
E0020,2026-01-07,0
E0020,2025-12-29,0
E0020,2025-12-31,0
E0020,2025-12-22,1
E0020,2025-12-24,1
E0020,2025-12-15,0
E0020,2025-12-17,0
E0020,2025-12-08,0
E0020,2025-12-10,0
E0020,2025-12-01,1
E0020,2025-12-03,1
E0020,2025-11-24,0
E0020,2025-11-26,0
E0020,2025-11-17,0
E0020,2025-11-19,1
E0020,2025-11-10,0
E0020,2025-11-12,0
E0021,2026-01-26,0
E0021,2026-01-28,1
E0021,2026-01-19,0
E0021,2026-01-21,0
E0021,2026-01-12,1
E0021,2026-01-14,0
E0021,2026-01-05,0
E0021,2026-01-07,0
E0021,2025-12-29,0
E0021,2025-12-31,0
E0021,2025-12-22,0
E0021,2025-12-24,0
E0021,2025-12-15,0
E0021,2025-12-17,1
E0021,2025-12-08,1
E0021,2025-12-10,0
E0021,2025-12-01,0
E0021,2025-12-03,0
E0021,2025-11-24,1
E0021,2025-11-26,0
E0021,2025-11-17,0
E0021,2025-11-19,0
E0021,2025-11-10,0
E0021,2025-11-12,0
E0022,2026-01-26,1
E0022,2026-01-28,1
E0022,2026-01-19,1
E0022,2026-01-21,1
E0022,2026-01-12,1
E0022,2026-01-14,0
E0022,2026-01-05,0
E0022,2026-01-07,1
E0022,2025-12-29,1
E0022,2025-12-31,0
E0022,2025-12-22,1
E0022,2025-12-24,1
E0022,2025-12-15,1
E0022,2025-12-17,1
E0022,2025-12-08,0
E0022,2025-12-10,1
E0022,2025-12-01,1
E0022,2025-12-03,1
E0022,2025-11-24,1
E0022,2025-11-26,1
E0022,2025-11-17,1
E0022,2025-11-19,1
E0022,2025-11-10,1
E0022,2025-11-12,1
E0023,2026-01-26,1
E0023,2026-01-28,1
E0023,2026-01-19,1
E0023,2026-01-21,1
E0023,2026-01-12,1
E0023,2026-01-14,1
E0023,2026-01-05,1
E0023,2026-01-07,1
E0023,2025-12-29,1
E0023,2025-12-31,1
E0023,2025-12-22,1
E0023,2025-12-24,1
E0023,2025-12-15,1
E0023,2025-12-17,1
E0023,2025-12-08,1
E0023,2025-12-10,1
E0023,2025-12-01,1
E0023,2025-12-03,1
E0023,2025-11-24,1
E0023,2025-11-26,1
E0023,2025-11-17,1
E0023,2025-11-19,1
E0023,2025-11-10,1
E0023,2025-11-12,1
E0024,2026-01-26,1
E0024,2026-01-28,0
E0024,2026-01-19,0
E0024,2026-01-21,1
E0024,2026-01-12,0
E0024,2026-01-14,0
E0024,2026-01-05,0
E0024,2026-01-07,1
E0024,2025-12-29,0
E0024,2025-12-31,1
E0024,2025-12-22,1
E0024,2025-12-24,1
E0024,2025-12-15,1
E0024,2025-12-17,1
E0024,2025-12-08,1
E0024,2025-12-10,0
E0024,2025-12-01,1
E0024,2025-12-03,1
E0024,2025-11-24,0
E0024,2025-11-26,0
E0024,2025-11-17,0
E0024,2025-11-19,1
E0024,2025-11-10,1
E0024,2025-11-12,1
E0025,2026-01-26,1
E0025,2026-01-28,1
E0025,2026-01-19,1
E0025,2026-01-21,1
E0025,2026-01-12,1
E0025,2026-01-14,1
E0025,2026-01-05,1
E0025,2026-01-07,1
E0025,2025-12-29,1
E0025,2025-12-31,1
E0025,2025-12-22,1
E0025,2025-12-24,1
E0025,2025-12-15,1
E0025,2025-12-17,1
E0025,2025-12-08,0
E0025,2025-12-10,1
E0025,2025-12-01,1
E0025,2025-12-03,1
E0025,2025-11-24,1
E0025,2025-11-26,1
E0025,2025-11-17,1
E0025,2025-11-19,1
E0025,2025-11-10,1
E0025,2025-11-12,1
E0026,2026-01-26,1
E0026,2026-01-28,1
E0026,2026-01-19,1
E0026,2026-01-21,1
E0026,2026-01-12,1
E0026,2026-01-14,1
E0026,2026-01-05,1
E0026,2026-01-07,1
E0026,2025-12-29,1
E0026,2025-12-31,1
E0026,2025-12-22,1
E0026,2025-12-24,1
E0026,2025-12-15,1
E0026,2025-12-17,1
E0026,2025-12-08,1
E0026,2025-12-10,1
E0026,2025-12-01,1
E0026,2025-12-03,1
E0026,2025-11-24,1
E0026,2025-11-26,1
E0026,2025-11-17,1
E0026,2025-11-19,1
E0026,2025-11-10,1
E0026,2025-11-12,1
E0027,2026-01-26,1
E0027,2026-01-28,1
E0027,2026-01-19,1
E0027,2026-01-21,1
E0027,2026-01-12,1
E0027,2026-01-14,1
E0027,2026-01-05,1
E0027,2026-01-07,1
E0027,2025-12-29,1
E0027,2025-12-31,1
E0027,2025-12-22,0
E0027,2025-12-24,1
E0027,2025-12-15,1
E0027,2025-12-17,1
E0027,2025-12-08,1
E0027,2025-12-10,1
E0027,2025-12-01,1
E0027,2025-12-03,1
E0027,2025-11-24,1
E0027,2025-11-26,1
E0027,2025-11-17,1
E0027,2025-11-19,1
E0027,2025-11-10,1
E0027,2025-11-12,1
E0028,2026-01-26,1
E0028,2026-01-28,0
E0028,2026-01-19,0
E0028,2026-01-21,0
E0028,2026-01-12,0
E0028,2026-01-14,1
E0028,2026-01-05,1
E0028,2026-01-07,0
E0028,2025-12-29,0
E0028,2025-12-31,0
E0028,2025-12-22,0
E0028,2025-12-24,1
E0028,2025-12-15,0
E0028,2025-12-17,1
E0028,2025-12-08,1
E0028,2025-12-10,0
E0028,2025-12-01,0
E0028,2025-12-03,1
E0028,2025-11-24,1
E0028,2025-11-26,0
E0028,2025-11-17,1
E0028,2025-11-19,0
E0028,2025-11-10,1
E0028,2025-11-12,0
E0029,2026-01-26,1
E0029,2026-01-28,1
E0029,2026-01-19,1
E0029,2026-01-21,1
E0029,2026-01-12,0
E0029,2026-01-14,1
E0029,2026-01-05,1
E0029,2026-01-07,1
E0029,2025-12-29,1
E0029,2025-12-31,1
E0029,2025-12-22,1
E0029,2025-12-24,1
E0029,2025-12-15,1
E0029,2025-12-17,1
E0029,2025-12-08,0
E0029,2025-12-10,1
E0029,2025-12-01,0
E0029,2025-12-03,1
E0029,2025-11-24,1
E0029,2025-11-26,0
E0029,2025-11-17,1
E0029,2025-11-19,1
E0029,2025-11-10,1
E0029,2025-11-12,1
E0030,2026-01-26,1
E0030,2026-01-28,0
E0030,2026-01-19,1
E0030,2026-01-21,1
E0030,2026-01-12,1
E0030,2026-01-14,0
E0030,2026-01-05,0
E0030,2026-01-07,0
E0030,2025-12-29,0
E0030,2025-12-31,0
E0030,2025-12-22,0
E0030,2025-12-24,0
E0030,2025-12-15,0
E0030,2025-12-17,0
E0030,2025-12-08,0
E0030,2025-12-10,1
E0030,2025-12-01,0
E0030,2025-12-03,0
E0030,2025-11-24,1
E0030,2025-11-26,0
E0030,2025-11-17,0
E0030,2025-11-19,0
E0030,2025-11-10,0
E0030,2025-11-12,0
E0031,2026-01-26,0
E0031,2026-01-28,1
E0031,2026-01-19,1
E0031,2026-01-21,1
E0031,2026-01-12,1
E0031,2026-01-14,1
E0031,2026-01-05,1
E0031,2026-01-07,1
E0031,2025-12-29,1
E0031,2025-12-31,1
E0031,2025-12-22,1
E0031,2025-12-24,1
E0031,2025-12-15,1
E0031,2025-12-17,1
E0031,2025-12-08,1
E0031,2025-12-10,1
E0031,2025-12-01,1
E0031,2025-12-03,1
E0031,2025-11-24,1
E0031,2025-11-26,1
E0031,2025-11-17,1
E0031,2025-11-19,1
E0031,2025-11-10,1
E0031,2025-11-12,1
E0032,2026-01-26,1
E0032,2026-01-28,1
E0032,2026-01-19,1
E0032,2026-01-21,1
E0032,2026-01-12,1
E0032,2026-01-14,1
E0032,2026-01-05,1
E0032,2026-01-07,1
E0032,2025-12-29,1
E0032,2025-12-31,1
E0032,2025-12-22,1
E0032,2025-12-24,1
E0032,2025-12-15,1
E0032,2025-12-17,0
E0032,2025-12-08,1
E0032,2025-12-10,1
E0032,2025-12-01,1
E0032,2025-12-03,1
E0032,2025-11-24,1
E0032,2025-11-26,1
E0032,2025-11-17,0
E0032,2025-11-19,1
E0032,2025-11-10,1
E0032,2025-11-12,0
E0033,2026-01-26,1
E0033,2026-01-28,0
E0033,2026-01-19,0
E0033,2026-01-21,0
E0033,2026-01-12,0
E0033,2026-01-14,0
E0033,2026-01-05,0
E0033,2026-01-07,0
E0033,2025-12-29,1
E0033,2025-12-31,0
E0033,2025-12-22,0
E0033,2025-12-24,1
E0033,2025-12-15,0
E0033,2025-12-17,0
E0033,2025-12-08,0
E0033,2025-12-10,0
E0033,2025-12-01,0
E0033,2025-12-03,1
E0033,2025-11-24,1
E0033,2025-11-26,0
E0033,2025-11-17,1
E0033,2025-11-19,1
E0033,2025-11-10,0
E0033,2025-11-12,0
E0034,2026-01-26,1
E0034,2026-01-28,1
E0034,2026-01-19,0
E0034,2026-01-21,0
E0034,2026-01-12,1
E0034,2026-01-14,0
E0034,2026-01-05,1
E0034,2026-01-07,1
E0034,2025-12-29,0
E0034,2025-12-31,0
E0034,2025-12-22,0
E0034,2025-12-24,0
E0034,2025-12-15,0
E0034,2025-12-17,0
E0034,2025-12-08,1
E0034,2025-12-10,0
E0034,2025-12-01,1
E0034,2025-12-03,0
E0034,2025-11-24,1
E0034,2025-11-26,0
E0034,2025-11-17,1
E0034,2025-11-19,0
E0034,2025-11-10,0
E0034,2025-11-12,0
E0035,2026-01-26,1
E0035,2026-01-28,1
E0035,2026-01-19,1
E0035,2026-01-21,1
E0035,2026-01-12,1
E0035,2026-01-14,1
E0035,2026-01-05,1
E0035,2026-01-07,1
E0035,2025-12-29,1
E0035,2025-12-31,1
E0035,2025-12-22,1
E0035,2025-12-24,1
E0035,2025-12-15,1
E0035,2025-12-17,1
E0035,2025-12-08,1
E0035,2025-12-10,1
E0035,2025-12-01,1
E0035,2025-12-03,1
E0035,2025-11-24,0
E0035,2025-11-26,1
E0035,2025-11-17,1
E0035,2025-11-19,1
E0035,2025-11-10,1
E0035,2025-11-12,1
E0036,2026-01-26,1
E0036,2026-01-28,1
E0036,2026-01-19,1
E0036,2026-01-21,1
E0036,2026-01-12,1
E0036,2026-01-14,1
E0036,2026-01-05,1
E0036,2026-01-07,1
E0036,2025-12-29,1
E0036,2025-12-31,1
E0036,2025-12-22,1
E0036,2025-12-24,1
E0036,2025-12-15,1
E0036,2025-12-17,1
E0036,2025-12-08,1
E0036,2025-12-10,1
E0036,2025-12-01,1
E0036,2025-12-03,1
E0036,2025-11-24,1
E0036,2025-11-26,1
E0036,2025-11-17,1
E0036,2025-11-19,1
E0036,2025-11-10,1
E0036,2025-11-12,1
E0037,2026-01-26,1
E0037,2026-01-28,1
E0037,2026-01-19,1
E0037,2026-01-21,1
E0037,2026-01-12,1
E0037,2026-01-14,1
E0037,2026-01-05,1
E0037,2026-01-07,1
E0037,2025-12-29,1
E0037,2025-12-31,1
E0037,2025-12-22,1
E0037,2025-12-24,1
E0037,2025-12-15,1
E0037,2025-12-17,1
E0037,2025-12-08,1
E0037,2025-12-10,1
E0037,2025-12-01,0
E0037,2025-12-03,1
E0037,2025-11-24,1
E0037,2025-11-26,1
E0037,2025-11-17,1
E0037,2025-11-19,1
E0037,2025-11-10,1
E0037,2025-11-12,1
E0038,2026-01-26,1
E0038,2026-01-28,1
E0038,2026-01-19,1
E0038,2026-01-21,1
E0038,2026-01-12,1
E0038,2026-01-14,1
E0038,2026-01-05,0
E0038,2026-01-07,1
E0038,2025-12-29,1
E0038,2025-12-31,1
E0038,2025-12-22,1
E0038,2025-12-24,1
E0038,2025-12-15,1
E0038,2025-12-17,1
E0038,2025-12-08,1
E0038,2025-12-10,1
E0038,2025-12-01,1
E0038,2025-12-03,1
E0038,2025-11-24,1
E0038,2025-11-26,1
E0038,2025-11-17,1
E0038,2025-11-19,1
E0038,2025-11-10,1
E0038,2025-11-12,1
E0039,2026-01-26,1
E0039,2026-01-28,1
E0039,2026-01-19,1
E0039,2026-01-21,1
E0039,2026-01-12,1
E0039,2026-01-14,1
E0039,2026-01-05,1
E0039,2026-01-07,1
E0039,2025-12-29,1
E0039,2025-12-31,1
E0039,2025-12-22,1
E0039,2025-12-24,1
E0039,2025-12-15,1
E0039,2025-12-17,1
E0039,2025-12-08,1
E0039,2025-12-10,1
E0039,2025-12-01,1
E0039,2025-12-03,1
E0039,2025-11-24,1
E0039,2025-11-26,1
E0039,2025-11-17,0
E0039,2025-11-19,1
E0039,2025-11-10,1
E0039,2025-11-12,1
E0040,2026-01-26,1
E0040,2026-01-28,1
E0040,2026-01-19,1
E0040,2026-01-21,1
E0040,2026-01-12,1
E0040,2026-01-14,1
E0040,2026-01-05,1
E0040,2026-01-07,1
E0040,2025-12-29,1
E0040,2025-12-31,1
E0040,2025-12-22,1
E0040,2025-12-24,1
E0040,2025-12-15,1
E0040,2025-12-17,1
E0040,2025-12-08,1
E0040,2025-12-10,1
E0040,2025-12-01,1
E0040,2025-12-03,1
E0040,2025-11-24,1
E0040,2025-11-26,1
E0040,2025-11-17,1
E0040,2025-11-19,1
E0040,2025-11-10,0
E0040,2025-11-12,1
E0041,2026-01-26,1
E0041,2026-01-28,1
E0041,2026-01-19,1
E0041,2026-01-21,1
E0041,2026-01-12,1
E0041,2026-01-14,1
E0041,2026-01-05,1
E0041,2026-01-07,1
E0041,2025-12-29,1
E0041,2025-12-31,1
E0041,2025-12-22,0
E0041,2025-12-24,0
E0041,2025-12-15,1
E0041,2025-12-17,1
E0041,2025-12-08,0
E0041,2025-12-10,1
E0041,2025-12-01,1
E0041,2025-12-03,1
E0041,2025-11-24,1
E0041,2025-11-26,1
E0041,2025-11-17,1
E0041,2025-11-19,0
E0041,2025-11-10,0
E0041,2025-11-12,0
E0042,2026-01-26,1
E0042,2026-01-28,1
E0042,2026-01-19,1
E0042,2026-01-21,1
E0042,2026-01-12,1
E0042,2026-01-14,1
E0042,2026-01-05,1
E0042,2026-01-07,1
E0042,2025-12-29,1
E0042,2025-12-31,1
E0042,2025-12-22,1
E0042,2025-12-24,1
E0042,2025-12-15,1
E0042,2025-12-17,1
E0042,2025-12-08,1
E0042,2025-12-10,1
E0042,2025-12-01,1
E0042,2025-12-03,1
E0042,2025-11-24,1
E0042,2025-11-26,1
E0042,2025-11-17,1
E0042,2025-11-19,1
E0042,2025-11-10,1
E0042,2025-11-12,1
E0043,2026-01-26,0
E0043,2026-01-28,0
E0043,2026-01-19,0
E0043,2026-01-21,0
E0043,2026-01-12,0
E0043,2026-01-14,0
E0043,2026-01-05,0
E0043,2026-01-07,0
E0043,2025-12-29,0
E0043,2025-12-31,0
E0043,2025-12-22,0
E0043,2025-12-24,0
E0043,2025-12-15,0
E0043,2025-12-17,0
E0043,2025-12-08,0
E0043,2025-12-10,1
E0043,2025-12-01,1
E0043,2025-12-03,0
E0043,2025-11-24,1
E0043,2025-11-26,1
E0043,2025-11-17,1
E0043,2025-11-19,1
E0043,2025-11-10,1
E0043,2025-11-12,0
E0044,2026-01-26,1
E0044,2026-01-28,1
E0044,2026-01-19,1
E0044,2026-01-21,0
E0044,2026-01-12,1
E0044,2026-01-14,1
E0044,2026-01-05,1
E0044,2026-01-07,1
E0044,2025-12-29,0
E0044,2025-12-31,1
E0044,2025-12-22,1
E0044,2025-12-24,1
E0044,2025-12-15,0
E0044,2025-12-17,1
E0044,2025-12-08,0
E0044,2025-12-10,1
E0044,2025-12-01,1
E0044,2025-12-03,1
E0044,2025-11-24,1
E0044,2025-11-26,1
E0044,2025-11-17,1
E0044,2025-11-19,1
E0044,2025-11-10,1
E0044,2025-11-12,1
E0045,2026-01-26,0
E0045,2026-01-28,1
E0045,2026-01-19,0
E0045,2026-01-21,0
E0045,2026-01-12,1
E0045,2026-01-14,1
E0045,2026-01-05,1
E0045,2026-01-07,1
E0045,2025-12-29,1
E0045,2025-12-31,1
E0045,2025-12-22,1
E0045,2025-12-24,1
E0045,2025-12-15,1
E0045,2025-12-17,1
E0045,2025-12-08,1
E0045,2025-12-10,1
E0045,2025-12-01,1
